timestamp,atm_30,atm_7,atm_90,atm_180,BTC,25delta_call_iv_7,25delta_put_iv_7
2022-12-18 00:00:00+00:00,55.58860298,52.44461509,60.8516939,64.81695652,16777.87595,,
2022-12-19 00:00:00+00:00,53.7138261,46.01947834,61.23645029,64.83386841,16450.95418,,
2022-12-20 00:00:00+00:00,50.32678112,39.21343311,59.52639462,63.94839865,16899.81654,43.96,52.16
2022-12-21 00:00:00+00:00,49.74551553,38.05650546,59.70575211,64.05229896,16810.93135,39.37,47.15
2022-12-22 00:00:00+00:00,46.74799217,34.01476118,58.30898455,63.3773842,16829.60538,33.39,40.81
2022-12-23 00:00:00+00:00,46.30177325,31.2721784,57.68067704,62.92238189,16795.7522,31.94,39.45
2022-12-24 00:00:00+00:00,44.74705231,31.87895789,56.9696617,62.3575555,16850.4641,29.99,35.88
2022-12-25 00:00:00+00:00,46.01794402,35.61832714,57.44088669,62.37458345,16838.62023,32.59,41.1
2022-12-26 00:00:00+00:00,45.47791143,34.01033771,56.75648468,62.03330656,16892.58309,30.83,43.7
2022-12-27 00:00:00+00:00,46.69252521,37.56567354,58.05086137,63.39355228,16711.68713,,
2022-12-28 00:00:00+00:00,49.7134,38.62857417,59.60187566,64.12361497,16547.56687,,
2022-12-29 00:00:00+00:00,46.56825022,30.61125361,58.41328789,63.6186018,16633.7305,,
2022-12-30 00:00:00+00:00,44.2218057,29.947812,56.3784538,61.70907011,16605.92244,30.22,32.88
2022-12-31 00:00:00+00:00,42.6621435,29.98668377,55.01658394,60.32370668,16553.33699,29.22,31.13
2023-01-01 00:00:00+00:00,41.09026027,31.37572971,53.9205945,59.48795783,16620.81993,29.73,31.53
2023-01-02 00:00:00+00:00,43.80224024,34.78277506,54.7573285,59.02060689,16693.93001,29,35.12
2023-01-03 00:00:00+00:00,42.56822771,34.17739926,53.37088473,58.71370968,16682.71589,37.37,40.62
2023-01-04 00:00:00+00:00,41.06060093,35.56227017,51.22972321,55.81635524,16865.15975,36.46,38.93
2023-01-05 00:00:00+00:00,38.33673046,31.6011834,49.84719967,55.31621808,16841.8216,33.62,39.51
2023-01-06 00:00:00+00:00,37.04606998,30.1376516,48.93067762,53.74876986,16961.05741,29.5,35.07
2023-01-07 00:00:00+00:00,35.62016041,29.16292594,48.25888083,54.75562961,16950.88824,27.47,34.03
2023-01-08 00:00:00+00:00,36.9458376,33.36427271,48.387724,53.08087605,17057.22446,31.16,36.65
2023-01-09 00:00:00+00:00,39.44918653,39.23164629,46.69147976,52.29341828,17190.70969,37.82,47.38
2023-01-10 00:00:00+00:00,40.30056154,42.07180063,46.89514945,52.38031637,17437.10715,38.21,43.6
2023-01-11 00:00:00+00:00,42.3724464,48.17285751,47.10168015,51.63270994,17915.65252,41.76,44.06
2023-01-12 00:00:00+00:00,47.57540636,49.19480942,48.07843469,51.74858465,18869.85718,42.97,43.02
2023-01-13 00:00:00+00:00,57.01030349,63.865188,53.03731328,52.85524236,19865.27358,55.3,44.48
2023-01-14 00:00:00+00:00,69.59986858,77.73927617,61.36730496,58.55826833,21020.72155,71.11,70.31
2023-01-15 00:00:00+00:00,66.53301723,70.00468829,61.46928771,59.32723329,20873.35288,75.4,72.69
2023-01-16 00:00:00+00:00,61.82459194,62.16549869,60.3912934,60.18178351,21171.40011,68.3,63.66
2023-01-17 00:00:00+00:00,60.1006277,59.84369049,58.56333895,58.4921515,21187.13556,61.96,60.4
2023-01-18 00:00:00+00:00,59.51203933,57.95736863,58.13564017,58.11954483,20722.71809,59.9,65.09
2023-01-19 00:00:00+00:00,53.08010931,45.73345756,54.90550034,56.25088435,21067.80283,51.67,52.3
2023-01-20 00:00:00+00:00,55.63201129,61.341728,54.92444932,56.51124042,22664.23599,55.83,48.62
2023-01-21 00:00:00+00:00,62.17220765,63.82419823,58.40162159,57.78453768,22795.68253,64.85,61.56
2023-01-22 00:00:00+00:00,58.56820816,59.51848794,57.46016511,57.5272214,22715.78095,58.96,61.48
2023-01-23 00:00:00+00:00,61.30337426,61.42295303,58.58709022,57.940584,22954.11086,60.83,61.15
2023-01-24 00:00:00+00:00,57.96744648,57.85574006,57.23030084,57.03432707,22625.9959,66.64,65.74
2023-01-25 00:00:00+00:00,57.262105,59.36800914,56.70324761,56.77023964,23149.55139,60.61,62.56
2023-01-26 00:00:00+00:00,52.93921484,51.42661007,54.5139949,56.17282342,23023.94457,57.19,55.3
2023-01-27 00:00:00+00:00,51.68623985,50.8757064,52.55291984,55.00131419,23071.79899,55.72,53.08
2023-01-28 00:00:00+00:00,50.76478016,52.23285057,52.17129768,54.57407147,23015.46168,52.75,47.11
2023-01-29 00:00:00+00:00,55.25877229,63.73046863,53.95160278,55.32306929,23773.98594,62.95,62.5
2023-01-30 00:00:00+00:00,53.01676773,59.83595357,52.4164259,54.40613694,22813.37972,62.3,67.1
2023-01-31 00:00:00+00:00,55.5094195,63.76759263,54.54867224,55.54387689,23137.16103,57.15,60.18
2023-02-01 00:00:00+00:00,54.056411,55.57025737,55.51344376,56.81434763,23711.52763,62.88,58.2
2023-02-02 00:00:00+00:00,54.76086966,54.2387646,54.91236094,56.31896303,23494.43639,52.66,55.87
2023-02-03 00:00:00+00:00,50.20416621,46.1596764,53.79271079,55.63228266,23459.95359,49.91,52.81
2023-02-04 00:00:00+00:00,51.12471286,49.63625631,53.95888932,55.58239077,23318.748,47.48,49.23
2023-02-05 00:00:00+00:00,51.69411407,49.91001297,54.08518181,56.31708403,22965.07223,49.63,53.48
2023-02-06 00:00:00+00:00,50.73295026,49.03530046,52.87645149,55.13087481,22768.97177,47.05,51.55
2023-02-07 00:00:00+00:00,48.17159104,47.09237674,52.33266752,55.02685019,23273.98434,49.04,50.78
2023-02-08 00:00:00+00:00,47.89040404,44.7117432,51.72162262,54.87856459,22945.94561,48.74,50.42
2023-02-09 00:00:00+00:00,47.44880163,49.09102183,50.70448488,53.75581843,21835.07047,48.62,60.35
2023-02-10 00:00:00+00:00,44.54757945,44.5330896,49.56715788,53.0583739,21641.69281,44.51,53.09
2023-02-11 00:00:00+00:00,42.24760937,40.49780737,48.61418606,52.78952875,21871.61507,39.86,43.62
2023-02-12 00:00:00+00:00,43.21543301,43.66230234,48.73844273,52.79574606,21768.02495,40.67,44.15
2023-02-13 00:00:00+00:00,47.17932491,50.81371926,49.99106935,53.44372575,21816.49699,48.7,50.64
2023-02-14 00:00:00+00:00,44.65748804,43.63002171,48.97342399,52.77841447,22226.8958,44.69,46.37
2023-02-15 00:00:00+00:00,49.0956708,57.48301097,50.11916454,53.14585471,24295.78233,51.95,47.4
2023-02-16 00:00:00+00:00,55.20402808,61.97583357,54.85790757,56.51437885,23657.2507,56.43,63.29
2023-02-17 00:00:00+00:00,57.53134217,62.037252,56.4120413,58.04068854,24577.91655,63.38,56.28
2023-02-18 00:00:00+00:00,55.29867583,54.4788026,55.65762081,56.99631315,24636.18266,58.84,60.52
2023-02-19 00:00:00+00:00,56.9543349,57.467334,56.91298426,57.82922223,24359.16347,59.86,62.14
2023-02-20 00:00:00+00:00,58.02868523,61.36579611,56.84102651,57.70634787,24801.8254,62.83,64.03
2023-02-21 00:00:00+00:00,57.55044617,58.0918872,58.0588172,58.69153848,24412.77668,60.93,61.73
2023-02-22 00:00:00+00:00,52.88581587,48.35916571,55.26678753,56.58343796,24190.5008,56.5,55.94
2023-02-23 00:00:00+00:00,51.34393971,48.17862271,54.09670794,56.44139674,23946.33665,52.1,52.45
2023-02-24 00:00:00+00:00,47.04555593,41.763652,51.7352432,54.98627048,23203.8254,47.81,51.34
2023-02-25 00:00:00+00:00,47.59556016,44.28896789,51.01992615,54.26348141,23169.27308,41.78,40.98
2023-02-26 00:00:00+00:00,48.28751825,45.40212911,50.90435974,53.67585791,23540.45127,45.81,47.45
2023-02-27 00:00:00+00:00,47.66356233,43.84675143,49.84785423,52.40058027,23519.86398,45.46,48.75
2023-02-28 00:00:00+00:00,47.45191327,45.49818857,50.66370201,53.26800368,23159.3538,44.83,47.07
2023-03-01 00:00:00+00:00,50.953159,46.88822223,52.27985018,54.44457612,23652.74977,47.49,51.75
2023-03-02 00:00:00+00:00,50.25645421,43.30364326,52.56161378,54.66708146,23479.32189,46.1,51.1
2023-03-03 00:00:00+00:00,48.39065554,42.937086,51.40718036,53.65532477,22359.21721,45.57,52.12
2023-03-04 00:00:00+00:00,48.3020139,42.51554711,51.22424391,53.54334773,22347.34392,39.95,46.66
2023-03-05 00:00:00+00:00,47.04709497,42.75386994,50.58181629,53.27158016,22442.47454,41.43,50.63
2023-03-06 00:00:00+00:00,48.11777489,43.9540244,51.01031894,53.38093581,22428.67639,44.29,52.51
2023-03-07 00:00:00+00:00,47.69730953,47.99465803,50.46338233,53.04455695,22221.31323,47.63,51.62
2023-03-08 00:00:00+00:00,46.44509727,45.50626869,50.24405295,52.63162789,21723.27683,46.32,56.07
2023-03-09 00:00:00+00:00,50.20502329,52.36808437,50.88469999,52.72279545,20370.74661,48.76,61.22
2023-03-10 00:00:00+00:00,49.3258224,50.139788,50.73638901,52.20397994,20176.78765,49.91,62.16
2023-03-11 00:00:00+00:00,53.45200876,55.33348269,53.00331934,54.09696404,20663.89719,54.66,70.06
2023-03-12 00:00:00+00:00,54.73677616,70.37958349,52.96634844,53.79416536,22123.74223,70.65,70.33
2023-03-13 00:00:00+00:00,59.2973448,77.82054897,55.96302996,56.00874194,24156.6679,93.27,85.64
2023-03-14 00:00:00+00:00,60.11875328,71.39541226,56.87473312,56.98270563,24781.78528,70.1,71.18
2023-03-15 00:00:00+00:00,60.83483295,69.75515317,57.26187043,57.24240225,24377.29401,72.24,77.08
2023-03-16 00:00:00+00:00,57.55558218,62.42102407,55.58370071,55.80893128,25050.14926,61.46,61.97
2023-03-17 00:00:00+00:00,63.73836389,74.4869298,60.18607498,59.30788354,27399.95185,76.84,70.59
2023-03-18 00:00:00+00:00,63.92162499,73.50787709,59.60629189,58.47587484,26954.3656,73.48,74.14
2023-03-19 00:00:00+00:00,69.24421125,82.34510674,64.29501335,62.1566402,28101.01528,84.53,79.59
2023-03-20 00:00:00+00:00,64.16694098,71.06348983,62.17094214,60.1637358,27716.68596,84.25,82.27
2023-03-21 00:00:00+00:00,66.67300419,74.7990288,62.93756494,61.12395698,28151.32512,73.07,68.91
2023-03-22 00:00:00+00:00,60.49472213,63.01788543,58.21390367,57.75430427,27328.39763,70.7,77.05
2023-03-23 00:00:00+00:00,63.54659589,64.317146,62.63177796,61.57314012,28335.16207,64.55,62.52
2023-03-24 00:00:00+00:00,61.52690367,59.2676888,61.0569091,60.38526771,27446.94255,62.17,64.61
2023-03-25 00:00:00+00:00,58.16601003,58.08999583,59.64895709,60.00897596,27488.80246,56.74,58.06
2023-03-26 00:00:00+00:00,59.35899937,60.75887143,60.14037196,60.05073856,28013.82772,62.02,63.16
2023-03-27 00:00:00+00:00,58.05503141,58.82162514,59.03680689,59.12573806,27158.4993,62.57,66.15
2023-03-28 00:00:00+00:00,55.80481286,55.49818843,57.00511888,57.61993924,27270.26293,58.01,62.76
2023-03-29 00:00:00+00:00,61.2222826,60.450864,60.30209362,59.50606907,28349.63275,63.6,60.25
2023-03-30 00:00:00+00:00,59.31336489,58.50479317,60.18141315,60.355944,28021.21039,61.32,63.6
2023-03-31 00:00:00+00:00,55.51981806,54.657787,57.3813426,57.99621923,28479.22872,57.03,56.33
2023-04-01 00:00:00+00:00,55.01526313,55.2282946,57.26694667,57.78243929,28473.56838,54.81,52.87
2023-04-02 00:00:00+00:00,56.86309109,60.12328483,58.08259032,58.34782431,28194.10223,59.03,58.22
2023-04-03 00:00:00+00:00,58.19479961,59.67022617,58.30014991,58.88457349,27767.63785,59.09,64.08
2023-04-04 00:00:00+00:00,56.54150579,54.67357246,57.58655067,59.19815724,28167.6974,57.79,59.63
2023-04-05 00:00:00+00:00,55.1508147,52.69658229,57.18625642,58.82865029,28173.73629,56.52,57
2023-04-06 00:00:00+00:00,54.13728663,51.84357498,56.92141937,58.62136631,28041.19753,55.23,56.72
2023-04-07 00:00:00+00:00,51.2483082,47.588458,55.36023045,57.80398068,27924.68059,50.29,52.6
2023-04-08 00:00:00+00:00,52.20713852,48.53896166,55.73327631,57.87618612,27942.76767,47.24,50.01
2023-04-09 00:00:00+00:00,55.72941872,59.08432111,57.77432288,58.68132488,28340.41685,55.87,57.13
2023-04-10 00:00:00+00:00,59.91988697,64.48913497,60.30452096,60.16085942,29628.54438,68.66,63.26
2023-04-11 00:00:00+00:00,57.50156435,60.88722674,57.71957964,58.90086879,30254.02197,62.33,60.27
2023-04-12 00:00:00+00:00,52.6866658,50.58401071,54.77535589,57.10864474,29887.19996,52.58,54.41
2023-04-13 00:00:00+00:00,52.27543906,46.51335533,54.64374057,56.74070062,30391.6739,49.21,49.16
2023-04-14 00:00:00+00:00,50.39553583,42.6701776,53.79278178,55.88819297,30476.95174,49.02,48.87
2023-04-15 00:00:00+00:00,51.28294162,44.7518428,53.27155543,55.00838704,30311.34545,42.22,43.49
2023-04-16 00:00:00+00:00,53.86895181,52.16781923,54.92046016,55.9784891,30307.75652,46.87,48.71
2023-04-17 00:00:00+00:00,52.64353719,48.40626686,54.5440651,55.72649607,29459.37965,48.97,50.66
2023-04-18 00:00:00+00:00,52.52766404,49.0572316,54.86638015,55.81905804,30374.50559,51.33,49.52
2023-04-19 00:00:00+00:00,52.33857553,48.83297226,54.284405,55.90099473,28787.57628,49.7,53.1
2023-04-20 00:00:00+00:00,52.85541326,48.92484622,53.09649897,55.21589198,28262.49409,47.53,51.7
2023-04-21 00:00:00+00:00,50.9724661,47.0114996,52.47455002,54.6984823,27284.58169,45.28,53.41
2023-04-22 00:00:00+00:00,50.82421138,45.76522263,52.76099607,55.23233391,27809.96301,43.22,49.02
