Date,BTC,Strike_25d,buy_25d,expiration_strike,avg_BTC_price,ROI,atm_7_perc,25toatm_7_perc
2024-06-21,63705.715,66386.00492391277,1,61331.131,62238.37314285715,-0.11547682025805435,0.06666666666666667,0.1
2024-06-28,61331.131,63734.12234140216,1,54294.292,60005.40542857143,-0.18786832794811215,0.06666666666666667,0.058333333333333334
2024-07-05,54294.292,57400.185298717915,1,57271.301,57643.98942857143,-0.10000780381201241,0.6083333333333333,0.041666666666666664
2024-07-12,57271.301,59777.8652057984,1,63780.826,62556.21928571428,0.6690859842641151,0.2,0.14166666666666666
2024-08-09,61062.29,64541.91797888197,1,58430.798,59596.35214285715,-0.10683455599430194,0.7833333333333333,0.1
2024-08-16,58430.798,61448.620531170935,1,61235.254,60001.493285714285,-0.07887628953844156,0.5666666666666667,0.175
2024-09-06,55742.099,59006.351883384996,1,57964.236,56240.486428571436,-0.04770425860570022,0.9083333333333333,0.075
2024-09-13,57964.236,60925.9480625438,1,63331.542,60466.744999999995,0.3471041248300346,0.5916666666666667,0.2916666666666667
2024-09-20,63331.542,66557.90652684409,1,65692.758,63806.47328571428,-0.07264933663369699,0.5916666666666667,0.25833333333333336
2024-09-27,65692.758,68657.97316147163,1,61482.353,63276.7032857143,-0.1293397195518967,0.31666666666666665,0.18333333333333332
2024-10-04,61482.353,64418.496656148964,1,60648.873,61948.61742857143,-0.11813024389369402,0.4666666666666667,0.1
2024-10-11,60648.873,63121.91869864378,1,67901.116,65438.411714285714,0.8473117871543855,0.08333333333333333,0.2833333333333333
2024-10-25,67594.474,70477.66529061874,0,69389.898,69630.76657142857,0.022695113657418355,0.05,0.9583333333333334
2024-11-08,75874.859,79491.82025319006,1,88051.106,84614.27457142857,1.031900294270646,0.39166666666666666,0.26666666666666666
2024-12-20,95300.564,100743.82843700107,1,95705.852,96344.42057142856,-0.10488171556124684,0.75,0.19166666666666668
2025-01-17,104167.9247,110994.22156408071,1,104746.026,103806.30984285715,-0.052973205385818,0.9333333333333333,0.15833333333333333
2025-01-31,102378.8398,107114.62454094438,1,96528.02517,98174.75357999999,-0.11937834444829781,0.18333333333333332,0.275
2025-02-07,96528.02517,101045.78826747162,1,97553.75529,96899.9974857143,-0.09354407356387401,0.2,0.14166666666666666
2025-02-14,97553.75529,101706.58368644724,0,96153.83356,96643.54146857142,-0.10550226628470633,0.025,0.6333333333333333
2025-02-21,96153.83356,99987.74416203717,1,84391.49973,89497.4612457143,-0.1587838193658635,0.041666666666666664,0.11666666666666667
2025-03-21,84083.69738,87788.73368770658,0,84425.52412,86216.47675428572,-0.09891931037327457,0.041666666666666664,0.7166666666666667
2025-03-28,84425.52412,88413.00391466476,1,83863.55306,83200.9783857143,-0.09430460263061133,0.43333333333333335,0.058333333333333334
2025-04-04,83863.55306,88309.64683304146,1,83403.56339,80416.40628428571,-0.07085511743355014,0.6166666666666667,0.21666666666666667
2025-04-11,83403.56339,87950.71024940221,1,84444.07755,84391.22795285714,-0.09826603905093033,0.7166666666666667,0.2
2025-04-18,84444.07755,87752.64831784289,0,94717.235,90526.34392571429,0.4802473729785454,0.016666666666666666,0.5333333333333333
2025-04-25,94717.235,98900.88220853225,0,96951.88351,95066.84857142856,0.05199536052799796,0.041666666666666664,0.8666666666666667
2025-05-02,96951.88351,100961.38977385234,0,102981.7964,97922.02217285715,0.28717960096754286,0.008333333333333333,0.925
2025-05-16,103511.8056,107163.03905020849,0,107355.2004,107267.23865714287,0.08647711598033136,0.016666666666666666,0.44166666666666665
